Country,State,Year,Month,PredictedTemp
5,33,2014,7,13.865003999999916
5,33,2014,8,13.865003999999916
5,35,2013,9,10.061999999999944
5,35,2013,10,10.061999999999944
5,35,2013,11,10.061999999999944
5,35,2013,12,10.061999999999944
5,35,2014,1,10.061999999999944
5,35,2014,2,10.061999999999944
5,35,2014,3,10.061999999999944
5,35,2014,4,10.061999999999944
5,35,2014,5,10.061999999999944
5,35,2014,6,10.061999999999944
5,35,2014,7,10.061999999999944
5,35,2014,8,10.061999999999944
5,36,2013,9,18.93000799999998
5,36,2013,10,18.93000799999998
5,36,2013,11,18.93000799999998
5,36,2013,12,18.93001199999998
5,36,2014,1,18.93000799999998
5,36,2014,2,18.93000799999998
5,36,2014,3,18.93000399999998
5,36,2014,4,18.93000399999998
5,36,2014,5,18.93000399999998
5,36,2014,6,18.93000399999998
5,36,2014,7,18.93000399999998
5,36,2014,8,18.93000399999998
5,37,2013,9,17.12100000000007
5,37,2013,10,17.12100000000007
5,37,2013,11,17.12100000000007
5,37,2013,12,17.12100000000007
5,37,2014,1,17.12100000000007
5,37,2014,2,17.12100000000007
5,37,2014,3,17.12100000000007
5,37,2014,4,17.12100000000007
5,37,2014,5,17.12100000000007
5,37,2014,6,17.12100000000007
5,37,2014,7,17.12100000000007
5,37,2014,8,17.12100000000007
5,41,2013,9,22.235003999999947
5,41,2013,10,22.235003999999947
5,41,2013,11,22.235003999999947
5,41,2013,12,22.235003999999947
5,41,2014,1,22.235003999999947
5,41,2014,2,22.235003999999947
5,41,2014,3,22.235003999999947
5,41,2014,4,22.235003999999947
5,41,2014,5,22.235003999999947
5,41,2014,6,22.235003999999947
5,41,2014,7,22.235003999999947
5,41,2014,8,22.235003999999947
5,47,2013,9,12.037007999999954
5,47,2013,10,12.037007999999954
5,47,2013,11,12.037007999999954
5,47,2013,12,12.037007999999954
5,47,2014,1,12.037007999999954
5,47,2014,2,12.037007999999954
5,47,2014,3,12.037007999999954
5,47,2014,4,12.037007999999954
5,47,2014,5,12.037007999999954
5,47,2014,6,12.037007999999954
5,47,2014,7,12.037007999999954
5,47,2014,8,12.037007999999954
5,53,2013,9,10.947999999999997
5,53,2013,10,10.947999999999997
5,53,2013,11,10.947999999999997
5,53,2013,12,10.947999999999997
5,53,2014,1,10.947999999999997
5,53,2014,2,10.947999999999997
5,53,2014,3,10.947999999999997
5,53,2014,4,10.947999999999997
5,53,2014,5,10.947999999999997
5,53,2014,6,10.947999999999997
5,53,2014,7,10.947999999999997
5,53,2014,8,10.947999999999997
5,70,2013,9,19.358028000000072
5,70,2013,10,19.358028000000072
5,70,2013,11,19.358028000000072
5,70,2013,12,19.358028000000072
5,70,2014,1,19.35802400000007
5,70,2014,2,19.35802400000007
5,70,2014,3,19.35802400000007
5,70,2014,4,19.35802400000007
5,70,2014,5,19.35802400000007
5,70,2014,6,19.35802400000007
5,70,2014,7,19.35802400000007
5,70,2014,8,19.358028000000072
5,72,2013,9,13.938999999999956
5,72,2013,10,13.938999999999956
5,72,2013,11,13.938999999999956
5,72,2013,12,13.938999999999956
5,72,2014,1,13.938999999999956
5,72,2014,2,13.938999999999956
5,72,2014,3,13.938999999999956
5,72,2014,4,13.938999999999956
5,72,2014,5,13.938999999999956
5,72,2014,6,13.938999999999956
5,72,2014,7,13.938999999999956
5,72,2014,8,13.938999999999956
5,73,2013,9,17.570000000000046
5,73,2013,10,17.570000000000046
5,73,2013,11,17.570000000000046
5,73,2013,12,17.570000000000046
